Model,MAPE_percent,WAPE_percent,RMSE,R2,PH_MAPE_percent
ARIMA,51.4190601807169,39.2074872274353,112.736747916368,0.537004311535917,50.2527098057085
LSTM,56.8860879610469,47.871574156512,127.789678178735,0.405108869024158,54.7614160990084
CNN_LSTM,42.6706979223542,31.6997062060539,93.1226398103424,0.684095000700145,43.4524620939387
Transformer,44.0508550294099,32.6449314825836,95.6367948202969,0.666806924830317,48.0432885746782
TA_Transformer,43.2099394092832,32.673169753183,96.0860481943215,0.663669226769817,46.2994230947043
PureGAT,49.0415240945038,35.4835211300007,101.93418381291,0.621482780574758,43.917654142021
