Model,MAPE_percent,WAPE_percent,RMSE,R2,PH_MAPE_percent
ARIMA,51.6678485285134,39.3793763361462,112.821621419441,0.534670004618733,50.705901814675
LSTM,58.0422568792055,47.7740047052644,129.188384110032,0.389868697770036,54.8019077727869
CNN_LSTM,43.3349059493829,31.9532076403752,93.4177016918174,0.680967643952415,45.1704494782598
Transformer,43.8532006351948,32.0276184200684,93.9985055773928,0.676988285764431,46.7676761666228
TA_Transformer,44.1421699735941,32.3913571157502,94.5934790606015,0.672886271032486,48.0733869114392
