Model,K_clusters,MAPE_percent,WAPE_percent,RMSE,R2
Transformer,5,14.5611104477861,13.2243302185859,60.0590940854195,0.838610117978196
TA_Transformer,5,14.9666412199279,13.6151432021366,61.9877369785404,0.828078451951515
Transformer,10,20.0773068156192,18.1217358353772,67.8168340765963,0.78814982491541
TA_Transformer,10,21.1205169503305,18.5206427923483,68.672581304691,0.782769626666491
Transformer,20,37.0980051688502,26.9276996408955,79.8391151691342,0.678870342431924
TA_Transformer,20,37.1333959291829,27.3409986548385,80.7941109827088,0.671142009277811
Transformer,33,44.2182825396751,32.9817099692063,96.9474546626093,0.657611819679923
TA_Transformer,33,43.147846352787,32.8529448399134,96.6285592300364,0.659860593533283
