Model,MAPE_percent_mean,MAPE_percent_std,WAPE_percent_mean,WAPE_percent_std,RMSE_mean,RMSE_std,R2_mean,R2_std,PH_MAPE_percent_mean,PH_MAPE_percent_std
ARIMA,51.4190601807169,8.70233571526732e-15,39.2074872274353,0,112.736747916368,0,0.537004311535917,0,50.2527098057085,0
LSTM,56.8613879396158,0.0447236091753955,47.796324138146,0.0742309366853232,127.590922739579,0.209143007242844,0.406956874676973,0.00194397178262248,54.7430174482017,0.0351488405129335
CNN_LSTM,42.6017569086298,0.168401870573961,31.6955285629681,0.0515084670995094,92.9255715333603,0.241138266538061,0.685429224664489,0.00163172850723264,43.5151480881096,0.29195700426144
Transformer,44.0021122420105,0.378454154520102,32.5951764307698,0.223383268982323,95.6228125014409,0.515686474031547,0.666897886474385,0.00359232912003567,47.7488884806558,0.982454235345061
TA_Transformer,42.9450895499634,0.239240362314637,32.59615573863,0.0666967258520639,96.0486706991793,0.0855120861876724,0.663930663787804,0.000598263145919682,45.8398385915679,0.466526982050023
PureGAT,49.0521299370278,0.0584381242798145,35.503097466339,0.0335695695475881,101.971578095193,0.0503028641448147,0.621204952126446,0.000373767234235685,43.9261805519594,0.0228060324237416
